User_Id,Item_Id,Posted,Title,Developer
phrostb,387240,2015-12-23,Steel Rain,Polarityflowadrian Zingg
76561197979086508,256190,2014-08-01,Enemy Front,Ci Games
Ppkdoevil,315430,2015-07-10,Polarity,Bluebutton Games
UZS,342970,2015-05-20,Pixel Survivors,Sachonskirenamilanesisith
minecraftdude1111,71250,2014-12-03,Sonic Adventure DX,Sega
Podzoz,300,2013-12-19,Day of Defeat: Source,Valve
notthesemuffins,304650,2014-09-07,SUNLESS SEA,Failbetter Games
76561198063159016,275100,2015-03-10,Shelter 2,Might And Delight
dizioboy,351790,2015-03-06,Invisible Apartment,Milan Kazarkajeroen Van Oosten
76561198024531364,260430,2015-07-02,The Four Kings Casino and Slots,Digital Leisure Inc
76561197981203305,33980,2013-12-25,Pound of Ground,Centauri Production
76561198094936736,239200,2014-06-27,Amnesia: A Machine for Pigs,The Chinese Room
revolverace,15700,2011-12-28,Oddworld: Abe's Oddysee®,Oddworld Inhabitants
76561198060295827,390670,2015-11-16,Steel Ocean,Ice Entertainment
76561198072526121,22330,2014-05-16,The Elder Scrolls IV: Oblivion® Game of the Year Edition,Bethesda Game Studios
76561198092310770,399790,2015-12-10,Destiny Warriors RPG,Ninjalex
SakifX9,92800,2014-06-26,SpaceChem,Zachtronics
SakifX9,307070,2014-12-31,Memories of a Vagabond,Darkelite
LunkTehHero,386360,2015-09-08,SMITE®,Hirez Studios
76561198058760041,353560,2015-10-24,Plug &amp; Play,Mario Von Rickenbachmichael Frei
MegaMario48,293500,2015-09-19,Amazing World™,Ganz
lilwoynintehhizzle,55150,2012-09-20,"Warhammer 40,000: Space Marine",Relic
senpai_the_slutty,204630,2015-03-13,Retro City Rampage™ DX,Vblank Entertainment Inc
76561198043587948,45770,2015-02-17,Dead Rising 2: Off the Record,Capcom Vancouver
Shredderman962,263960,2014-09-07,Wyv and Keep: The Temple of the Lost Idol,A Jolly Corpse
SpiritOfDeath2,303210,2015-12-27,The Beginner's Guide,Everything Unlimited Ltd
76561198059366714,368990,2015-07-30,Despair,Agc
76561198085601351,206500,2014-11-06,AirMech Strike,Carbon Games
ethanabey,247730,2014-07-02,Nether: Resurrected,Phosphor Games Studio
_SNS_,204880,2013-07-18,Sins of a Solar Empire®: Rebellion,Ironclad Gamesstardock Entertainment
76561198055096033,227180,2015-01-23,Kingdom Wars,Reverie World Studios
NotStomm,38720,2015-03-10,RUSH,Two Tribes
stormshado,228300,2015-09-06,Remember Me,Dontnod Entertainment
frost27820,237110,2015-04-07,Mortal Kombat Komplete Edition,Netherrealm Studioshigh Voltage Software
76561198103243648,270150,2015-04-06,RUNNING WITH RIFLES,Osumia Games
GameTaj,375510,2015-08-11,New kind of adventure,Mint Age Studios
OFFICIALDRTECHNO,250380,2013-11-23,Knock-knock,Icepick Lodge
thediamond96,235250,2015-02-05,Super Sanctum TD,Coffee Stain Studios
76561198054416836,277460,2014-12-15,Praetorians,Pyro Studios
76561198077337646,2400,2015-01-20,The Ship: Murder Party,Outerlight Ltd
76561198082520598,285920,2015-04-02,TerraTech,Payload Studios
76561198082520598,345580,2015-03-19,Universal Combat CE,Ad
babpls,294160,2015-01-12,Galcon 2: Galactic Conquest,Hassey Enterprises Inc
babpls,301460,2015-01-12,Electronic Super Joy: Groove City,Michael Todd Gamesyazar Media Group Llc
76561197999426881,273770,2014-04-24,Game Tycoon 1.5,Sunlight Games
swagdog69,292140,2015-06-24,FINAL FANTASY® XIII-2,Square Enix
URHNDEH____DERGE,412400,2015-11-18,GASP,Dark Day Interactive
tinfoilcat,242680,2015-12-25,Nuclear Throne,Vlambeer
VoxMaro,231310,2014-06-21,MirrorMoon EP,Santa Ragione
jwatt1991,207080,2013-12-01,Indie Game: The Movie,Blinkworks Media
wjmj,355840,2015-04-04,Survarium,Vostok Games
mrfefe,48000,2013-11-29,LIMBO,Playdead
Harrasian,3920,2015-04-15,Sid Meier's Pirates!,Firaxis Games
76561198032873398,57640,2014-04-15,Broken Sword: Director's Cut,Revolution Software Ltd
reina_san,327410,2015-08-14,A Bird Story,Freebird Games
mikeytyson,335300,2015-04-02,DARK SOULS™ II: Scholar of the First Sin,Fromsoftware Inc
zachster,357650,2015-10-07,Project Explore,Sebastian Nigro
ED13,252350,2014-02-06,Double Dragon: Neon,Wayforwardabstraction Games
ED13,262260,2014-02-06,Jets'n'Guns Gold,Rake In Grass
Leopardts,383120,2015-08-05,Empyrion - Galactic Survival,Eleon Game Studios
adi_a12,384150,2015-09-13,TeraBlaster,Black Shell Games
76561198068688231,246070,2015-01-20,Hack 'n' Slash,Double Fine Productions
SavviSYD,357900,2015-04-02,Make it indie!,Sometimes You
L0RD117,6000,2015-05-18,STAR WARS™ Republic Commando™,Lucasarts
Teknoe,12500,2011-09-14,PuzzleQuest: Challenge of the Warlords,Infinite Interactive
ArchangelItherael,4570,2015-12-28,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Relic Entertainment
76561198025409181,20540,2015-08-01,Company of Heroes: Tales of Valor,Relic Entertainment
76561198022316167,240970,2015-06-22,Half Minute Hero: The Second Coming,Opus
Scorpion1903,3483,2015-10-01,Peggle Extreme,Popcap Games Inc
drdoob,263740,2015-09-01,FootLOL: Epic Fail League,Lions Shade
lmn8rx,39140,2013-11-29,FINAL FANTASY VII,Square Enix
TheRealMeatyMate,280,2013-11-26,Half-Life: Source,Valve
Videogamedunderly,404480,2015-09-29,SC2VN - The eSports Visual Novel,Team Eleven Eleven
PritchardGSD,249630,2014-11-27,Delver,Priority Interrupt
MrProvidings,1280,2014-01-11,Darkest Hour: Europe '44-'45,Darklight Games
76561198044060397,263420,2014-11-07,Probably Archery,South East Games
76561198006896411,234140,2015-10-23,Mad Max,Avalanche Studiosferal Interactive Maclinux
76561198057519270,287100,2015-04-20,Chaos Domain,Holy Warpblack Wing Foundation
UberScapE,4580,2014-06-23,"Warhammer® 40,000: Dawn of War® - Dark Crusade",Relic Entertainment
BestinTheWorldThund3r,360,2013-12-01,Half-Life Deathmatch: Source,Valve
minecast24,243800,2015-02-27,Gas Guzzlers Extreme,Gamepires
76561198018293914,18820,2014-06-21,Zero Gear,Brian Cronin
111222333444555666888,307880,2015-11-21,Savage Lands,Signal Studiossmart Ghost
10Degree,351990,2015-12-30,Riff Racer - Race Your Music!,Foam Entertainment
ryno69445,260160,2014-07-02,The Last Tinker™: City of Colors,Mimimi Productions
a4nic8er,208140,2012-12-31,Endless Space® - Collection,Amplitude Studios
Adnurak,263680,2014-03-03,Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,Semaphore
76561198067070151,299460,2015-11-05,Woodle Tree Adventures,Fabio Ferrara
Agnt007,360640,2015-12-30,12 Labours of Hercules II: The Cretan Bull,Jetdogs Studioszoom Out Games
goblinop,236790,2014-04-23,Agricultural Simulator 2013 - Steam Edition,Actalogic
76561198062396491,359050,2015-12-31,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,Marbenx
ohsotoast,267530,2015-05-02,The LEGO® Movie - Videogame,Tt Fusiontravellers Talesferal Interactive Mac
ManiFoldKinesis,292120,2014-10-16,FINAL FANTASY® XIII,Square Enix
4RCH4NG3Ll,307170,2015-12-14,Borealis,Conrad Nelson
archangel147,32380,2015-08-05,STAR WARS™ Jedi Knight: Dark Forces II,Lucasarts
AriakWolf,285480,2015-01-11,The Entente Gold,Lesta Studio
76561198057583546,343270,2015-02-05,Disillusions Manga Horror,Stephenallen
ThePratama190,302970,2014-08-25,Radiant Defense,Hexage
virtueavatar,21660,2011-03-05,Street Fighter® IV,Capcom
76561198050868578,282400,2015-11-10,SuperPower 2 Steam Edition,Golemlabs
alyboxie,32340,2012-08-27,LOOM™,Lucasarts
76561198057926017,310080,2015-12-27,Hatoful Boyfriend,Mediatonichato Moathe Irregular Corporation
76561198006560154,13600,2014-02-20,Prince of Persia®: The Sands of Time,Kudosoft
VilePurple,225080,2015-08-15,Brothers - A Tale of Two Sons,Starbreeze Studios Ab
BeyondBlitz,17580,2013-12-13,Dystopia,Puny Human
GOFUCKYOURSELFYOULILCUNT,324080,2015-10-10,Rising World,Jiwgames
76561198069183109,32800,2014-02-12,Lord of the Rings: War in the North,Snowblind Studios
giveyouagoodlink,204080,2015-07-27,The Showdown Effect,Arrowhead Game Studios
giveyouagoodlink,244590,2015-09-01,Epigenesis,Dead Shark Triplepunch
Vri404,293760,2015-09-14,Automation - The Car Company Tycoon Game,Camshaft Software
brat81,55110,2012-01-02,Red Faction®: Armageddon™,Volition
76561198095920833,34010,2015-06-06,Alpha Protocol™,Obsidian Entertainment
tinbgr,220700,2014-12-01,RPG Maker VX Ace,Kadokawa
76561198138045913,42120,2015-06-20,Lead and Gold: Gangs of the Wild West,Fatshark
76561198054131489,367670,2015-05-06,Controller Companion,Koga Tech Limited
HyperionDooM93,225280,2014-11-15,Full Mojo Rampage,Over The Top Games
76561198040183690,350150,2015-07-08,Scraps: Modular Vehicle Combat,Moment Studio
aaronaaronaaron,335840,2015-02-08,Goats on a Bridge,Cabygon
Crafe,332500,2015-11-15,GRAV,Bitmonster Inc
crashsg32hatesspam,266490,2014-12-21,Lili: Child of Geos - Complete Edition,Bitmonster Inc
76561198093983570,360940,2015-12-16,The Mean Greens - Plastic Warfare,Virtual Basement Llccode Headquarters Llc
76561198095839864,247950,2015-01-02,Sacred 3,Keen Games
Razorleaff,340340,2015-04-13,Domestic Dog,Sean Davy
cyroth,250620,2014-06-02,Among the Sleep - Enhanced Edition,Krillbite Studio
itsdandytime,281820,2014-11-13,Explodemon,Curve Studios
agenteagle,30,2013-12-09,Day of Defeat,Valve
agenteagle,60,2013-11-27,Ricochet,Valve
