Item_Id,App_Name,Title,Release_Date,Release_Year,Price,Genres,Specs,Early_Access,Developer,Publisher
7000,Tomb Raider Legend,Tomb Raider: Legend,2006-07-04,2006,6.99,"Action,  Adventure","Single-player, Partial Controller Support",False,Crystal Dynamics,Square Enix
12500,Puzzlequest Challenge Of The Warlords,PuzzleQuest: Challenge of the Warlords,2007-10-10,2007,9.99,Casual,"Single-player, Multi-player, Steam Cloud",False,Infinite Interactive,Dpublisher Of America Inc
12510,Prison Tycoon Lockdown,Prison Tycoon 3™: Lockdown,2007-01-08,2007,9.99,Strategy,Single-player,False,Gamebryovirtual Playground,Valusoft Retroism
12530,Hunting Unlimited,Hunting Unlimited™ 2008,2007-01-09,2007,9.99,"Action,  Adventure,  Strategy",Single-player,False,Scs Software,Valusoft Retroism
12520,Wheels Of Steel American Long Haul,18 Wheels of Steel: American Long Haul,2007-03-12,2007,9.99,Racing,Single-player,False,Scs Software,Valusoft Retroism
8100,Conflict Denied Ops,Conflict: Denied Ops,2008-08-02,2008,5.99,Action,Single-player,False,Pivotal Games,Square Enix
2780,Arma Combat Operations,ARMA: Combat Operations,2007-08-05,2007,7.99,Action,"Single-player, Multi-player, Includes level editor",False,Bohemia Interactive,Bohemia Interactive
9710,Desperados Coopers Revenge,Desperados 2: Cooper's Revenge,2006-02-05,2006,9.99,Action,Single-player,False,Spellbound,Thq Nordic
13200,Unreal The Awakening,Unreal 2: The Awakening,2003-03-02,2003,14.99,Action,Single-player,False,Epic Games Inc,Epic Games Inc
13540,Tom Clancys Rainbow Six Vegas,Tom Clancy's Rainbow Six® Vegas,2006-12-12,2006,9.99,Action,"Single-player, Multi-player",False,Ubisoft Montreal,Ubisoft
3520,Mystery Pi The Vegas Heist,Mystery P.I.™ - The Vegas Heist,2008-04-06,2008,4.99,Casual,Single-player,False,Spintop Games,Popcap Games Inc
15970,Luxor,Luxor,2008-10-06,2008,9.99,Casual,Single-player,False,Mumbojumbo,Mumbojumbo
15950,Reaxxion,Reaxxion,2008-10-06,2008,9.99,Casual,Single-player,False,Mumbojumbo,Mumbojumbo
15960,Little Farm,Little Farm,2008-10-06,2008,9.99,Casual,Single-player,False,Mumbojumbo,Mumbojumbo
15900,Wonders Ii,7 Wonders II,2008-10-06,2008,9.99,Casual,Single-player,False,Mumbojumbo,Mumbojumbo
15910,Luxor Amun Rising,Luxor Amun Rising,2005-08-12,2005,9.99,Casual,Single-player,False,Mumbojumbo,Mumbojumbo
15920,Luxor,Luxor 2,2005-08-12,2005,9.99,Casual,Single-player,False,Mumbojumbo,Mumbojumbo
12600,Midnight Outlaw Hours To Sunup,Midnight Outlaw: 6 Hours to SunUp,2005-02-07,2005,9.99,Racing,Single-player,False,Merscombabylon,Valusoft Retroism
8320,Bone The Great Cow Race,Bone: The Great Cow Race,2006-12-04,2006,9.99,Adventure,Single-player,False,Telltale Games,Telltale Games
12580,Dr Daisy Pet Vet,Dr. Daisy Pet Vet,2008-08-01,2008,9.99,nan,Single-player,False,Zemnott,Valusoft
12560,Ride Carnival Tycoon,Ride! Carnival Tycoon,2007-02-07,2007,9.99,Simulation,Single-player,False,Gabriel Entertainment,Valusoft Retroism
12570,Hot Dish,Hot Dish,2008-12-01,2008,9.99,nan,Single-player,False,Zemnott,Valusoft
12540,Mahjongg Investigations Under Suspicion,Mahjongg Investigations: Under Suspicion,2007-08-08,2007,9.99,Casual,Single-player,False,Zemnott,Valusoft Retroism
15700,Oddworld Abes Oddysee,Oddworld: Abe's Oddysee®,1997-12-12,1997,2.99,Adventure,"Single-player, Steam Trading Cards",False,Oddworld Inhabitants,Oddworld Inhabitants
8660,Gtr Evolution Expansion Pack For Race,GTR Evolution Expansion Pack for RACE 07,2008-01-09,2008,7.99,Racing,"Single-player, Multi-player, Downloadable Content",False,Simbin,Simbin
15390,Brothers In Arms Hells Highway,Brothers in Arms: Hell's Highway™,2008-08-10,2008,9.99,Action,Single-player,False,Gearbox Software,Ubisoft
3050,Xpand Rally Xtreme,Xpand Rally Xtreme,2006-01-12,2006,4.99,Racing,"Single-player, Multi-player",False,Techland,Techland
19800,Brothers In Arms Earned In Blood,Brothers in Arms: Earned in Blood™,2005-04-10,2005,9.99,Action,Single-player,False,Gearbox Software,Ubisoft
256522,Prr Wagon Pack,PRR Wagon Pack 01,2009-01-01,2009,4.99,Simulation,"Single-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards",False,Railsimulatorcom,Dovetail Games
275144,Class London South East Jaffa Cake,"Class 421 London South East ""Jaffa Cake""",2009-01-01,2009,4.99,Simulation,"Single-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards",False,Railsimulatorcom,Dovetail Games
256521,Atsf Wagon Pack,ATSF Wagon Pack 01,2009-01-01,2009,4.99,Simulation,"Single-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards",False,Railsimulatorcom,Dovetail Games
222569,Gp Union Pacific Addon Livery,GP20 Union Pacific Add-on Livery,2009-01-01,2009,4.99,Simulation,"Single-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards",False,Reppo,Dovetail Games
256535,Uk Van Wagon Pack,UK Van Wagon Pack,2009-01-01,2009,4.99,Simulation,"Single-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards",False,Railsimulatorcom,Dovetail Games
256611,Csx Sdmac Addon Livery,CSX SD70MAC Add-on Livery,2009-01-01,2009,4.99,Simulation,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards",False,Dovetail Games,Dovetail Games
256576,Csx Esac Addon Livery,CSX ES44AC Add-on Livery,2009-01-01,2009,4.99,Simulation,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards",False,Dovetail Games,Dovetail Games
18500,Defense Grid The Awakening,Defense Grid: The Awakening,2008-08-12,2008,9.99,"Indie,  Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards",False,Hidden Path Entertainment,Hidden Path Entertainment
16450,Fear Project Origin,F.E.A.R. 2: Project Origin,2009-12-02,2009,14.99,Action,"Single-player, Multi-player",False,Monolith,Warner Bros Interactive Entertainment
15400,Harvest Massive Encounter,Harvest: Massive Encounter,2008-05-03,2008,7.99,"Strategy,  Indie","Single-player, Steam Achievements",False,Oxeye Game Studio,Oxeye Game Studio
18600,Mayhem Intergalactic,Mayhem Intergalactic,2007-04-07,2007,9.99,"Indie,  Strategy","Single-player, Multi-player, Steam Achievements",False,Inventive Dingo,Inventive Dingo
25830,Knights Of Honor,Knights of Honor,2005-10-05,2005,9.99,Strategy,"Single-player, Multi-player",False,Black Sea Studios Ltd,Paradox Interactive
10600,Empire Total War Special Forces Units Bonus Content,Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009-04-03,2009,2.99,Strategy,"Single-player, Downloadable Content, Stats",False,The Creative Assemblyferal Interactive Macferal Interactive Linux,Sega Feral Interactive Mac Feral Interactive Linux
21010,Watchmen The End Is Nigh,Watchmen: The End is Nigh,2009-04-03,2009,4.99,Action,"Single-player, Multi-player, Shared/Split Screen",False,Deadline Games,Warner Bros Interactive Entertainment
24740,Burnout Paradise The Ultimate Box,Burnout Paradise: The Ultimate Box,2009-03-02,2009,19.99,Racing,"Single-player, Multi-player",False,Criterion Games,Electronic Arts
26000,The Maw,The Maw,2009-09-03,2009,9.99,"Action,  Indie","Single-player, Steam Achievements",False,Twisted Pixel Games,Twisted Pixel Games
9850,Codename Panzers Cold War,Codename: Panzers - Cold War,2009-10-03,2009,14.99,"Simulation,  Strategy","Single-player, Multi-player, Co-op",False,Innoglowstormregionthq Nordic,Thq Nordic
7510,Xblades,X-Blades,2009-10-02,2009,9.99,"Action,  Adventure,  RPG","Single-player, Steam Trading Cards, Partial Controller Support",False,Gaijin Entertainment,Topware Interactive
16200,Virtual Families,Virtual Families,2009-06-05,2009,9.99,"Casual,  Simulation",Single-player,False,Last Day Of Work,Last Day Of Work
7840,Death Track Resurrection,Death Track®: Resurrection,2009-06-05,2009,2.99,Racing,"Single-player, Steam Cloud",False,Sky Fallen,C Company
8890,Freedom Force Vs The Third Reich,Freedom Force vs. the Third Reich,2005-08-03,2005,4.99,"RPG,  Strategy","Single-player, Multi-player",False,Irrational Games,K Games
34500,Light Of Altair,Light of Altair,2009-04-06,2009,14.99,"Indie,  Simulation,  Strategy","Single-player, Steam Achievements",False,Saintxi,Saintxi
1280,Darkest Hour Europe,Darkest Hour: Europe '44-'45,2009-09-06,2009,0.0,"Action,  Simulation","Multi-player, Mods, Partial Controller Support, Includes level editor",False,Darklight Games,Darklight Games
10150,Prototype,Prototype™,2009-10-06,2009,19.99,"Action,  Adventure",Single-player,False,Radical Entertainment,Activision
22330,The Elder Scrolls Iv Oblivion Game Of The Year Edition,The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-11-09,2007,14.99,RPG,"Single-player, Steam Cloud",False,Bethesda Game Studios,Bethesda Softworks
32710,Armored Fist,Armored Fist 3,1999-01-09,1999,9.99,Simulation,"Single-player, Multi-player, Co-op",False,Novalogic,Novalogic Thq Nordic
32740,Mig Fulcrum,MiG-29 Fulcrum,1998-07-09,1998,9.99,Simulation,"Single-player, Multi-player",False,Novalogic,Novalogic Thq Nordic
31860,Nancy Drew Legend Of The Crystal Skull,Nancy Drew®: Legend of the Crystal Skull,2007-01-10,2007,6.99,Adventure,Single-player,False,Her Interactive,Her Interactive
31900,Nancy Drew The Creature Of Kapu Cave,Nancy Drew®: The Creature of Kapu Cave,2006-01-10,2006,6.99,Adventure,Single-player,False,Her Interactive,Her Interactive
31920,Nancy Drew The Phantom Of Venice,Nancy Drew®: The Phantom of Venice,2008-01-07,2008,6.99,Adventure,Single-player,False,Her Interactive,Her Interactive
31930,Nancy Drew The White Wolf Of Icicle Creek,Nancy Drew®: The White Wolf of Icicle Creek,2007-01-07,2007,6.99,Adventure,Single-player,False,Her Interactive,Her Interactive
31170,Tales Of Monkey Island Complete Pack,Tales of Monkey Island Complete Pack,2009-07-07,2009,19.99,Adventure,Single-player,False,Telltale Games,Telltale Games
21660,Street Fighter Iv,Street Fighter® IV,2009-07-07,2009,19.99,Action,"Single-player, Multi-player, Partial Controller Support",False,Capcom,Capcom
6080,Thrillville Off The Rails,Thrillville®: Off the Rails™,2007-09-10,2007,9.99,"Action,  Adventure,  Racing,  Simulation,  Strategy","Single-player, Local Multi-Player, Co-op, Local Co-op, Shared/Split Screen, Partial Controller Support, Steam Cloud",False,Frontier,Lucasarts
6010,Indiana Jones And The Fate Of Atlantis,Indiana Jones® and the Fate of Atlantis™,1992-01-06,1992,5.99,Adventure,"Single-player, Local Co-op, Steam Cloud",False,Lucasarts,Lucasarts Lucasfilm Disney Interactive
6090,Armed And Dangerous,Armed and Dangerous®,2003-02-12,2003,5.99,Action,"Single-player, Steam Cloud",False,Planet Moon Studios,Lucasarts Lucasfilm Disney Interactive
6060,Star Wars Battlefront Classic,"Star Wars: Battlefront 2 (Classic, 2005)",2005-01-11,2005,9.99,Action,"Single-player, Partial Controller Support, Steam Cloud",False,Pandemic Studios,Lucasfilm Lucasarts Disney Interactive
32310,Indiana Jones And The Last Crusade,Indiana Jones® and the Last Crusade™,1989-01-07,1989,5.99,Adventure,Single-player,False,Lucasarts,Lucasarts Lucasfilm Disney Interactive
32330,Lego Indiana Jones The Original Adventures,LEGO® Indiana Jones™: The Original Adventures,2008-03-06,2008,19.99,"Action,  Adventure","Single-player, Local Co-op, Shared/Split Screen, Partial Controller Support, Steam Cloud",False,Travellers Tales,Lucasarts Lucasfilm Disney Interactive
35310,Clutch,Clutch,2009-02-06,2009,9.99,"Action,  Racing",Single-player,False,Targem Games,Game Factory Interactive
10100,Kings Quest Collection,King's Quest™ Collection,2006-01-09,2006,19.99,Adventure,Single-player,False,Sierra,Activision
10110,Space Quest Collection,Space Quest™ Collection,2006-01-09,2006,19.99,Adventure,Single-player,False,Sierra,Activision
10120,Aces Of The Galaxy,Aces of the Galaxy™,2008-04-06,2008,9.99,"Action,  Casual",Single-player,False,Artech Studios,Activision
36000,Foreign Legion Buckets Of Blood,Foreign Legion: Buckets of Blood,2009-04-08,2009,4.99,"Action,  Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud",False,Sakari Indie,Sakari Indie
38410,Fallout A Post Nuclear Role Playing Game,Fallout 2: A Post Nuclear Role Playing Game,1998-01-12,1998,9.99,RPG,"Single-player, Steam Cloud",False,Black Isle Studios,Bethesda Softworks
38420,Fallout Tactics Brotherhood Of Steel,Fallout Tactics: Brotherhood of Steel,2001-01-03,2001,9.99,Strategy,"Single-player, Multi-player, Steam Cloud",False,East,Bethesda Softworks
38430,Kingpin Life Of Crime,Kingpin — Life of Crime,1999-01-06,1999,9.99,Action,"Single-player, Multi-player",False,Xatrix Entertainment,Interplay Inc
38440,Sacrifice,Sacrifice,2000-01-11,2000,9.99,nan,Single-player,False,Shiny Entertainment,Interplay Inc
35000,Mini Ninjas,Mini Ninjas,2009-08-09,2009,9.99,"Action,  Adventure",Single-player,False,Io Interactive,Square Enix
31190,Tales Of Monkey Island Complete Pack Chapter Lair Of The Leviathan,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-07-09,2009,19.99,Adventure,Single-player,False,Telltale Games,Telltale Games
208306,Train Simulator Us Loco Asset Pack,Train Simulator: US Loco &amp; Asset Pack,2009-01-10,2009,17.99,Simulation,"Single-player, Downloadable Content, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards",False,Dovetail Games,Dovetail Games Trains
208300,Train Simulator European Loco Asset Pack,Train Simulator: European Loco &amp; Asset Pack,2009-01-10,2009,19.99,Simulation,"Single-player, Downloadable Content, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards",False,Dovetail Games,Dovetail Games Trains
35070,Floras Fruit Farm,Flora's Fruit Farm,2009-01-10,2009,3.99,Casual,Single-player,False,Honeyslug,Square Enix
10606,Empire Total War The Warpath Campaign,Empire: Total War™ - The Warpath Campaign,2009-05-10,2009,9.99,Strategy,"Single-player, Multi-player, Downloadable Content",False,The Creative Assemblyferal Interactive Macferal Interactive Linux,Sega Feral Interactive Mac Feral Interactive Linux
24840,Medal Of Honor Airborne,Medal of Honor: Airborne,2007-04-09,2007,9.99,Action,"Single-player, Multi-player",False,Ea Los Angeles,Electronic Arts
24800,Command Conquer Red Alert Uprising,Command &amp; Conquer: Red Alert 3 - Uprising,2009-12-03,2009,19.99,Strategy,Single-player,False,Ea Los Angeles,Electronic Arts
31200,Tales Of Monkey Island Complete Pack Chapter The Trial And Execution Of Guybrush Threepwood,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-07-10,2009,19.99,Adventure,Single-player,False,Telltale Games,Telltale Games
3130,Men Of War Red Tide,Men of War: Red Tide,2009-01-11,2009,4.99,Strategy,"Single-player, Steam Cloud",False,C Company,C Company Csoftclub
39540,Spellforce Platinum Edition,SpellForce - Platinum Edition,2009-03-11,2009,9.99,"Action,  RPG",Single-player,False,Phenomic,Thq Nordic
34640,Massive Assault Phantom Renaissance,Massive Assault: Phantom Renaissance,2005-03-03,2005,9.99,Strategy,Single-player,False,Wargamingnet,Wargamingnet
17450,Dragon Age Origins,Dragon Age: Origins,2009-06-11,2009,19.99,RPG,Single-player,False,Bioware,Electronic Arts
37100,Aztaka,Aztaka,2009-07-05,2009,4.99,"Action,  RPG,  Indie",Single-player,False,Citeremis Inc,Citeremis Inc
37500,Magnetis,Magnetis,2009-05-11,2009,1.99,"Indie,  Casual","Single-player, Multi-player, Co-op, Steam Achievements, Steam Leaderboards",False,Yullaby,Yullaby
42810,For The Glory A Europa Universalis Game,For The Glory: A Europa Universalis Game,2009-11-11,2009,9.99,Strategy,"Single-player, Multi-player",False,Crystal Empire Games,Paradox Interactive
10180,Call Of Duty Modern Warfare,Call of Duty®: Modern Warfare® 2,2009-12-11,2009,19.99,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Cloud, Valve Anti-Cheat enabled",False,Infinity Wardaspyr Mac,Activision Aspyr Mac
32440,Lego Star Wars The Complete Saga,LEGO® Star Wars™ - The Complete Saga,2009-12-11,2009,19.99,Adventure,"Single-player, Shared/Split Screen, Full controller support, Steam Cloud",False,Travellers Talesferal Interactive Mac,Lucasarts Lucasfilm Disney Interactive Feral Interactive Mac
32430,Star Wars The Force Unleashed Ultimate Sith Edition,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009-03-11,2009,19.99,Action,"Single-player, Partial Controller Support, Steam Cloud",False,Lucasartsaspyr Studios,Lucasarts Aspyr Mac Lucasfilm Disney Interactive
38080,Buildalot,Build-A-Lot,2007-02-10,2007,9.99,Simulation,Single-player,False,Hip Soft,Iwin
45700,Devil May Cry,Devil May Cry 4,2008-08-07,2008,19.99,"Action,  Adventure","Single-player, Full controller support",False,Capcom,Capcom
38110,Buildalot Power Source,Build-A-Lot 4: Power Source,2009-12-08,2009,9.99,Simulation,Single-player,False,Hip Soft,Iwin
17570,Pirates Vikings And Knights Ii,"Pirates, Vikings, and Knights II",2010-12-02,2010,0.0,"Action,  Free to Play,  Indie","Multi-player, Online Multi-Player, Cross-Platform Multiplayer, Mods, Steam Achievements, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes level editor, Includes Source SDK",False,Octoshark Studios,Octoshark Studios
38160,Farm Frenzy American Pie,Farm Frenzy 3: American Pie,2010-06-01,2010,9.99,Casual,Single-player,False,Alawar,Iwin
38150,Farm Frenzy,Farm Frenzy 3,2009-11-09,2009,9.99,Casual,Single-player,False,Alawar,Iwin
38120,Farm Frenzy,Farm Frenzy,2007-07-12,2007,4.99,Casual,Single-player,False,Alawar,Iwin
38180,Cradle Of Persia,Cradle of Persia,2007-01-12,2007,9.99,Casual,Single-player,False,Awem Studio,Iwin
49900,Plain Sight,Plain Sight,2010-05-04,2010,4.99,"Action,  Indie","Multi-player, Steam Achievements, Steam Leaderboards",False,Beatnik Games,Beatnik Games
42120,Lead And Gold Gangs Of The Wild West,Lead and Gold: Gangs of the Wild West,2010-08-04,2010,9.99,Action,"Multi-player, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards",False,Fatshark,Fatshark
12220,Grand Theft Auto Episodes From Liberty City,Grand Theft Auto: Episodes from Liberty City,2010-12-04,2010,19.99,Action,"Single-player, Multi-player",False,Rockstar North Toronto,Rockstar Games
45730,Dark Void Zero,Dark Void™ Zero,2010-12-04,2010,4.99,"Action,  Adventure","Single-player, Steam Achievements, Full controller support, Steam Leaderboards",False,Other Ocean Interactive,Capcom
34178,Napoleon Total War Coalition Battle Pack,Napoleon: Total War™ - Coalition Battle Pack,2010-05-05,2010,2.99,Strategy,Downloadable Content,False,The Creative Assemblyferal Interactive Mac,Sega Feral Interactive Mac
37320,The Nightshift Code,The Nightshift Code™,2008-11-02,2008,6.99,Casual,Single-player,False,Playfirst,Playfirst
19080,Biozone,Biozone,2010-07-05,2010,9.99,"Action,  Adventure,  Casual",Single-player,False,G Entertainment,Konami Digital Entertainment Inc Konami Digital Entertainment Gmbh
19030,Rocket Knight,Rocket Knight,2010-11-05,2010,14.99,"Action,  Adventure","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards",False,Climax Studios,Konami Digital Entertainment Inc Konami Digital Entertainment Gmbh
49800,Flight Of The Icarus,Flight of the Icarus,2010-12-05,2010,4.99,"Action,  Indie",Single-player,False,Muse Games,Muse Games
